zhat,log,k_0,k_1,k_2,k_3,k_4
2.0,17.147489639207453,2.7413373207889663e-12,0.0,0.9992109126232619,2.284196792424124e-06,0.0007868031772038574
2.0,24.1939213059137,3.5189338917244627e-12,0.0,0.999999962066033,8.907253152332441e-10,3.703972205928593e-08
2.0,20.48492934562839,8.359484293034442e-12,0.0,0.9999996817525905,4.7754511185914935e-09,3.13463598056892e-07
2.0,24.264155214626015,4.6371635416097e-12,0.0,0.9999999978953075,4.372987860168949e-10,1.6627555001201364e-09
2.0,21.28482445922765,1.7151610824099496e-11,0.0,0.9999999645782952,2.74607935409973e-09,3.265847276464599e-08
2.0,18.651436903437716,7.93343747231593e-10,0.0,0.9999997965249886,4.013478825669096e-08,1.6254687825079718e-07
2.0,21.169062478315276,6.1798502588568756e-12,0.0,0.9999998483153134,1.9334140899339654e-09,1.497450915379665e-07
2.0,22.84540352784264,1.7944153560566068e-12,0.0,0.9999999795328092,5.35379244798724e-10,1.99300160380766e-08
2.0,22.27228496967616,3.767106162041627e-12,0.0,0.9999992953830945,2.166398645863949e-09,7.024467386732605e-07
2.0,14.972746340487467,2.599312141232079e-09,0.0,0.993678540679115,6.943558997219508e-06,0.00631451316257466
2.0,14.528052561888094,5.3991359318977855e-09,0.0,0.9216896869962073,9.20915505245456e-05,0.07821821605413114
4.0,10.664758540277951,8.27756211283337e-10,0.0,0.07589013118035169,0.0002363904250551827,0.9238734775668359
4.0,9.927452871414989,1.51682386996804e-11,0.0,5.198017819571438e-07,1.113772712820789e-05,0.9999883424559205
4.0,13.704464828102644,4.4919670919136415e-13,0.0,2.384957688807174e-08,4.899198053966606e-06,0.9999950769519188
4.0,13.062364514325457,1.1456213455767259e-12,0.0,6.107218823755578e-09,0.00015031153307262196,0.9998496823585619
4.0,13.65816123385939,1.0656471594469926e-14,0.0,7.049409602390851e-11,2.050010886827507e-05,0.9999794998206258
4.0,13.139134755336844,6.765904908759525e-17,0.0,4.2281229441928833e-20,6.863086651769816e-08,0.9999999313691323
4.0,14.879298505331077,5.924279153888573e-18,0.0,4.732884861056726e-20,2.2862882428784536e-06,0.999997713711756
4.0,15.020203987466829,1.5085974891692357e-18,0.0,2.0172525820671136e-20,1.7865196513164835e-06,0.9999982134803476
4.0,14.552646927255873,3.68521697401728e-20,0.0,1.2889453707211427e-24,2.8690031636567326e-08,0.9999999713099671
